公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
上海蔚来汽车有限公司,NIO蔚来,2000人以上,D轮及以上,朝阳区,应用运维工程师,3-5年,本科,20k-40k,"六险一金,弹性办公,租房补贴,学霸团队"
北京数猎天下科技有限公司,DataHunter,50-150人,A轮,海淀区,运维工程师,不限,本科,10k-20k,"五道口,数据可视化,技术大牛,下午茶"
中国民航信息网络股份有限公司研发中心运价系统研发部,中国航信,2000人以上,不需要融资,顺义区,运维工程师,1-3年,本科,8k-15k,"大型项目,央企,有宿舍"
北京东方红航天生物技术股份有限公司,北京东方红航天生物,150-500人,未融资,海淀区,运维工程师,1-3年,本科,6k-8k,"国企,五险一金,弹性工作,发展空间大"
北京网利科技有限公司,网利宝,150-500人,B轮,朝阳区,运维工程师,3-5年,大专,15k-20k,氛围好
岩心科技（深圳）有限公司,AKULAKU,500-2000人,C轮,朝阳区,运维工程师,1-3年,不限,5k-9k,国际化团队、东南亚独角兽
北京五八到家信息技术有限公司,58到家,50-150人,天使轮,朝阳区,资深运维工程师,5-10年,本科,20k-35k,发展空间大 晋升机会多 福利满满
央视国际网络有限公司,央视网,500-2000人,上市公司,海淀区,运维工程师,1-3年,不限,6k-10k,技术快速成长
中电科华云信息技术有限公司,电科华云,150-500人,A轮,海淀区,中级运维工程师,3-5年,大专,10k-18k,"云计算,大数据,运维"
九一金融信息服务（北京）有限公司,91科技集团,150-500人,C轮,西城区,运维工程师,1-3年,大专,10k-15k,"五险一金,餐补,团建"
北京轻松筹网络科技有限公司,轻松筹,500-2000人,C轮,东城区,资深运维工程师,3-5年,大专,15k-30k,五险一金 mac办公 弹性工作
晋商博创（北京）科技有限公司,博创科技,15-50人,不需要融资,丰台区,云实施运维工程师,5-10年,本科,20k-40k,"工作气氛好,技术环境好"
北京清帆科技有限公司,清帆科技,15-50人,A轮,海淀区,运维工程师,3-5年,本科,10k-20k,"年13薪,期权激励,优秀团队,晋升空间大"
北京聚道科技有限公司,GeneDock,15-50人,B轮,海淀区,高级运维工程师,3-5年,本科,15k-25k,"五险一金,带薪年假,午餐零食,团队氛围好"
北京小药药人工智能科技有限公司,小药药,500-2000人,B轮,朝阳区,运维工程师,3-5年,大专,15k-25k,平台大
上海微创软件股份有限公司北京分公司,微创,2000人以上,不需要融资,海淀区,开发运维工程师-赴微软,1-3年,本科,8k-11k,"微软办公,弹性工作,六险一金,带薪年假"
北京拾级科技有限公司,小咖,50-150人,A轮,朝阳区,IT运维工程师,1-3年,本科,6k-10k,"带薪年假,弹性工作,节日福利,晋升空间大"
大象慧云信息技术有限公司,大象慧云,150-500人,不需要融资,海淀区,高级运维工程师,3-5年,本科,8k-15k,"五险一金,补充医疗,弹性工作,周末双休"
北京世纪好未来教育科技有限公司,好未来,2000人以上,上市公司,海淀区,系统运维工程师,3-5年,本科,15k-30k,"大牛多,平台广,薪酬福利佳"
北京修齐治平科技有限公司,爱云校,500-2000人,C轮,朝阳区,运维工程师-数据方向,5-10年,本科,20k-30k,"六险一金,带薪年假,技术大牛"
天津益阳煜赢网络科技有限公司,云账户,150-500人,B轮,朝阳区,高级运维工程师,3-5年,本科,20k-40k,"五险一金,带薪年假,节日福利,年度体检"
北京奇天大胜网络科技有限公司,72变,50-150人,A轮,海淀区,运维工程师,1-3年,本科,8k-12k,"项目前景好,五险一金"
北京创智优品科技有限公司,Zenjoy,150-500人,不需要融资,东城区,运维工程师,1-3年,本科,10k-20k,"六险一金,包午晚餐,出国旅行,年底双薪"
北京易点淘网络技术有限公司,易点租,500-2000人,D轮及以上,海淀区,运维工程师,3-5年,本科,20k-40k,"D轮融资,14薪,运维，弹性时间，餐补"
凤凰飞扬（北京）新媒体信息技术有限公司,凤凰网,2000人以上,上市公司,朝阳区,大数据运维工程师,3-5年,本科,20k-30k,"餐补,班车,不加班,节日福利"
北京曜辉信息科技有限公司,曜辉科技,15-50人,未融资,朝阳区,运维工程师,1-3年,本科,10k-20k,"不打卡,高成长,有零食,扁平化"
搜知云（北京）教育科技有限公司,搜知云,50-150人,不需要融资,朝阳区,运维工程师,1-3年,本科,8k-16k,"扁平化管理,独当一面,朝阳行业"
中国环球租赁有限公司,环球医疗,500-2000人,上市公司,西城区,运维工程师,3-5年,本科,10k-20k,"朝阳行业,氛围和谐,发展空间,BOSS牛"
北京轻元科技有限公司,轻元科技,15-50人,A轮,昌平区,运维工程师,3-5年,本科,10k-15k,"大牛绑带,成熟产品,云计算,程序员文化"
北京世纪好未来教育科技有限公司,好未来,2000人以上,上市公司,海淀区,运维安全部-运维工程师,3-5年,大专,15k-30k,免费晚餐，免费水果，企业滴滴
